Clock frequency is approx. 2601.5 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	5300.4	3892.7	2761.7	2579.3	2115.9	1764.9	1534.3	1353.0	1229.4	1069.5	991.1	894.9	848.4	803.3	772.1	800.7	752.6	709.4	716.0	737.3	787.8	732.8	721.8	680.2	702.8	749.3	737.0	736.7	725.7	745.4	622.1	649.3	741.8	790.9	658.6	740.2	820.8	621.0	707.1	744.1	667.1	683.4	774.7	789.0	862.7	742.0	743.9	872.1	794.6	647.3	738.9	839.6	760.7	773.8	818.1	791.8	678.5	823.1	858.3	612.2	801.9	815.1	724.8	607.4	
16m	5705.4	5314.9	3733.0	2828.5	2321.6	1964.3	1730.8	1523.2	1365.2	1236.3	1092.3	1027.7	959.5	904.3	860.3	954.7	892.6	831.3	841.9	761.4	924.9	826.6	853.9	570.7	885.4	883.5	778.6	1066.4	993.1	1053.7	849.7	846.5	966.6	1110.8	1122.3	1196.6	1231.5	1294.3	1140.1	1133.2	1060.5	1419.6	1474.8	1629.7	1932.8	1537.6	1466.4	1326.2	2125.9	1808.6	1780.1	1886.5	1822.5	2052.2	1783.4	1497.3	1770.9	2241.7	871.7	2045.4	2215.4	1842.0	2149.2	730.0	
8m	4566.3	5278.1	4443.4	3086.0	2556.1	2179.2	1799.0	1713.4	1617.1	1552.0	1447.2	1347.4	1277.8	1302.5	1309.1	1172.7	1321.5	1246.4	1448.0	1577.0	1632.4	1632.8	1917.9	2221.8	2255.2	2701.0	2270.4	2617.5	2765.2	2707.7	2456.0	1267.0	2556.4	2994.2	3362.1	3231.0	3300.6	3353.0	3927.5	2911.5	2972.5	3932.2	3147.2	3095.1	3783.5	3797.6	4060.6	3990.0	3162.7	3978.1	3833.2	4066.8	4039.1	3447.5	3887.8	3521.1	3448.5	3833.9	3254.2	3665.4	3751.5	3676.7	3698.6	1051.2	
4m	4945.8	5897.5	5870.8	5042.9	4540.8	4039.9	3564.2	3224.4	3059.7	3256.7	3308.9	3342.2	3359.4	3480.2	3682.0	3091.7	4802.2	4823.9	5085.6	5286.2	5277.5	5294.2	5337.8	5270.1	5272.4	5281.0	5280.9	5483.5	5472.0	5439.3	5698.8	3197.7	5313.0	5234.6	5242.7	5338.2	5288.4	5241.1	5246.6	5291.4	5279.6	5257.5	5331.8	3898.1	5260.4	5256.2	5302.8	3070.2	5280.8	5237.8	5208.9	4054.1	5440.1	4245.5	5441.3	5448.7	4183.3	4292.2	5466.0	4331.8	4282.0	4300.8	4275.8	2415.2	
2m	6205.9	6199.7	6194.9	6206.2	6167.4	6206.7	6204.0	6205.8	6201.1	6199.8	6200.4	6199.4	6104.3	6049.4	5943.6	4853.8	5704.5	5679.7	5513.9	5523.7	5419.2	5320.5	5282.9	5222.1	5193.2	5117.9	5083.3	5111.6	5129.7	4960.9	5096.1	3869.2	5067.9	4882.8	5048.4	5070.1	5042.0	5037.9	5023.0	5061.6	5054.9	6173.2	5070.9	5071.2	5012.3	4983.7	5093.4	3927.4	5097.6	5079.3	5031.7	5105.4	5146.3	5177.9	5065.1	5147.0	5159.8	5235.0	5177.9	5125.5	5143.0	5306.7	5278.4	3622.5	
1024k	6007.3	6006.7	6006.4	6004.9	6003.8	6002.5	6003.2	6000.7	6003.5	5992.1	5991.5	5986.5	5938.6	6087.8	5959.0	4895.2	5808.7	5763.1	5673.4	5633.2	5549.3	5504.4	5443.9	5433.0	5349.8	5351.7	5367.1	5386.1	5389.7	5326.1	5415.8	3913.2	5521.1	5404.9	5533.0	5624.5	5601.2	5603.0	5668.9	5662.2	5756.4	5873.4	6183.0	5925.8	5884.0	5949.1	6076.1	4231.5	6074.8	6086.1	6139.4	6043.4	6127.1	6141.0	6152.0	6151.8	6087.1	6131.6	6143.2	6125.5	6171.2	6143.0	6143.5	3882.6	
512k	6206.5	6207.1	6206.0	6203.5	6196.0	6209.2	6207.7	6203.3	6202.8	6203.0	6200.2	6203.4	6177.3	6150.4	6109.0	5280.3	6067.0	6074.5	6047.6	5953.8	5989.4	5948.6	5976.7	5919.7	6004.4	6074.1	6057.0	6075.1	6091.9	6048.9	6068.5	4346.6	6128.4	6165.8	6175.5	6158.2	6161.9	6143.9	6157.0	6154.8	6169.4	6155.1	6168.3	6152.6	6167.5	6156.4	6161.3	5865.7	6157.8	6160.0	6142.2	6156.8	6141.7	6145.4	6159.3	6131.7	6154.4	6142.8	6128.5	6143.7	6138.7	6120.8	6140.0	4379.6	
256k	6207.9	6208.0	6201.1	6209.1	6004.7	6204.1	6196.6	6206.0	6194.7	6195.1	6203.3	6182.5	6183.0	6172.1	6187.2	5546.9	6146.9	6174.3	6171.4	6165.9	6164.4	6159.9	6153.8	6155.4	6160.0	6142.4	6151.4	6147.2	6146.1	6160.4	6158.5	4723.3	6164.6	6156.4	6126.6	6145.8	6155.3	6120.4	6130.6	6141.0	6137.0	6117.5	6094.8	6110.8	6100.5	6095.1	6121.7	6107.8	6124.7	6115.2	6105.8	6110.9	6092.3	6118.0	6113.7	6094.9	6116.7	6116.6	6077.0	6071.5	6081.9	6056.8	6047.4	4946.9	
128k	6207.6	6211.4	6201.4	6001.5	6205.2	6196.0	6184.6	6193.4	6182.3	6179.3	6172.2	6176.8	6154.0	6172.1	6157.0	6148.7	6160.1	6149.8	6137.1	6141.0	6140.6	6144.7	6120.3	6123.6	6131.7	6133.8	6129.9	6107.1	6110.2	6110.7	6124.2	6095.9	6105.5	6152.6	6118.1	6077.9	6078.1	6112.1	6087.0	6113.7	6113.5	6093.6	6090.1	6081.0	6079.9	6085.1	6105.2	6070.1	6091.4	6087.9	6078.0	6036.6	6046.5	6059.3	6077.8	6075.3	6065.7	6071.0	6069.2	6044.3	6047.6	6056.8	6039.2	5972.9	
64k	6210.1	6203.3	5982.0	5996.4	5973.7	6163.4	6175.2	6159.3	6145.8	6149.9	6149.6	6128.9	6110.9	6119.4	6117.3	6116.9	6130.0	6077.9	6095.5	6113.7	6102.7	6109.8	6095.1	6080.5	6077.1	6058.9	6059.3	6063.2	6058.5	6044.3	6070.1	6013.4	6046.8	6039.8	6012.3	6023.8	5999.0	6012.0	6003.4	6001.7	6007.5	5985.7	6007.1	5977.8	5993.3	5975.0	5964.6	5978.2	5955.8	5957.9	5948.2	5938.2	5932.5	5931.6	5958.4	5921.7	5954.4	5921.5	5941.7	5918.4	5894.5	5900.8	5881.6	5867.7	
32k	6199.7	6197.0	6155.4	6162.9	6145.5	6123.6	6094.9	6109.9	6101.4	6122.5	6100.2	6080.5	6070.1	6051.2	6044.3	6013.4	6054.4	6039.2	6028.2	6035.7	5985.7	5977.8	5975.0	5958.1	5957.9	5916.7	5931.6	5898.7	5921.5	5918.4	5900.8	5919.8	5865.2	5853.3	5825.3	5859.8	5903.4	5870.4	5781.1	5789.7	5838.7	5797.6	5762.6	6164.0	10073.8	10066.6	10420.9	5760.4	5754.3	5795.8	5680.8	5730.5	5701.1	5712.0	5690.7	5678.6	5699.4	5687.0	5684.3	5592.2	5588.0	5629.4	5590.0	5458.8	
16k	6195.2	6173.6	6139.5	6123.9	6104.9	6090.9	6075.3	6054.4	6039.2	6001.7	5996.3	5958.1	5916.7	5921.7	5943.1	5946.2	5880.8	5888.9	5870.4	5789.7	5764.6	9677.5	5716.8	5760.4	5718.0	5730.5	5753.6	5721.3	5643.2	5636.5	5583.7	5643.9	5561.8	5536.8	5584.8	5636.5	5528.1	5496.3	5518.3	5484.6	5463.1	5514.0	11012.9	11252.9	11273.1	11576.6	10777.6	9052.1	10861.2	9049.8	9076.9	5121.7	9803.1	5255.0	9422.4	10851.9	10666.1	9913.8	10597.2	9105.2	9421.6	10405.9	9140.3	9249.7	
8k	6170.0	6152.2	6080.5	6068.1	6018.7	5978.2	5921.7	5919.8	5859.8	5853.3	9775.3	5686.6	5770.9	5678.6	5636.5	5643.9	5488.2	5583.4	5550.7	5373.8	5514.0	11252.9	11294.2	11088.8	10906.2	5321.2	9612.8	5203.0	9652.9	8877.6	5125.3	8999.7	9775.3	4955.2	8696.4	8684.4	10646.8	10756.1	10116.9	10205.8	10785.3	10145.8	9885.6	10080.7	9864.0	8575.3	10287.7	8504.8	4722.3	8480.8	7708.1	4538.1	8346.4	9820.6	8021.2	7912.8	4428.7	7641.9	9447.5	7691.3	4357.5	7804.4	6503.7	9793.8	
4k	6020.2	6054.4	5958.1	5919.8	5821.3	5798.1	5678.6	5643.9	5690.7	5428.6	11520.8	11088.8	11073.9	5275.2	5146.4	10741.6	10070.3	8684.4	4906.3	10205.8	4785.7	10080.7	10066.6	4606.8	4609.1	9724.6	9820.6	6330.3	9170.2	8423.8	9036.7	9249.7	8960.7	9755.6	9511.7	9186.5	4769.4	6627.6	7188.3	8845.0	8048.3	9012.3	8238.0	6048.4	8454.8	6431.4	7072.8	6142.4	5997.9	5853.3	5781.1	7247.0	5891.6	6968.3	5662.0	5934.6	8395.7	5690.7	6903.9	7370.9	5126.5	5365.6	5284.3	5549.8	
2k	6054.4	5972.9	5723.3	5643.9	5428.6	11373.1	5275.2	9249.7	4921.1	10205.8	10519.0	10051.2	10210.8	7033.6	8423.8	12807.3	8671.6	6681.1	8698.7	8845.0	7885.7	8064.6	9647.2	8504.8	8104.6	7804.4	5738.6	8632.2	8277.4	6317.9	5723.3	6937.3	5760.4	5574.6	5388.8	4856.1	7154.1	4596.0	4509.2	4738.4	6373.6	4802.7	6113.5	4986.2	4181.0	4088.0	4302.5	3902.2	4102.3	3716.4	4335.8	4611.7	5492.0	3702.1	4010.6	3602.1	3793.8	3502.0	3401.9	3685.4	3577.0	3301.9	2601.5	3468.6	
